unique_id,role,type,primary_name,regime,date_designated,class,definite_runs,possible_runs,neighbour_runs,empty_runs,error_runs,n_runs,uk_match,issuers_matched,matched_code,matched_title,identity_kind,issuer,valid_from,valid_to,valid_from_matches_designation,envelope_filename,envelope_valid_from
RUS3643,addition,Entity,LLC SMITH,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184598,LLC SMITH,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3644,addition,Entity,OOO DILMAS,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184599,OOO DILMAS,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3645,addition,Entity,KOMPOZIT 21 LLC,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184600,KOMPOZIT 21 LLC,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3646,addition,Entity,OOO KORD-BUNKER,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184601,OOO KORD-BUNKER,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3647,addition,Entity,JOINT DEVELOPMENT BANK,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184602,JOINT DEVELOPMENT BANK,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3648,addition,Entity,"""A71"" LIMITED LIABILITY COMPANY",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK|US,1184603,"""A71"" LIMITED LIABILITY COMPANY",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3649,addition,Individual,Ruslan Petrovich KOSHKIN,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184604,Ruslan Petrovich KOSHKIN,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3650,addition,Individual,Aleksandr Filippovich VOTCHENKO,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184605,Aleksandr Filippovich VOTCHENKO,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3651,addition,Individual,Nikolay Nikolayevich SAZHIN,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184606,Nikolay Nikolayevich SAZHIN,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3652,addition,Individual,Sergey Nikolayevich MAZURIK,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184607,Sergey Nikolayevich MAZURIK,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3653,addition,Individual,Aleksandr Vasilyevich MATROSOV,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184608,Aleksandr Vasilyevich MATROSOV,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3654,addition,Individual,Roman Viktorovich GAIVORONSKIY,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184609,Roman Viktorovich GAIVORONSKIY,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3655,addition,Individual,Dmitriy Yegorovich ZUBKOV,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184610,Dmitriy Yegorovich ZUBKOV,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3656,addition,Individual,Stanislav Sergeyevich POPOV,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184611,Stanislav Sergeyevich POPOV,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3657,addition,Individual,Konstantin Aleksandrovich STRAFILOV,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184612,Konstantin Aleksandrovich STRAFILOV,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3658,addition,Individual,Maksim Yuryevich MAMONTOV,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184613,Maksim Yuryevich MAMONTOV,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3659,addition,Entity,"""A7-AGENT"" LIMITED LIABILITY COMPANY",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK|US,1184614,"""A7-AGENT"" LIMITED LIABILITY COMPANY",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3660,addition,Entity,PILOT FINANCE LIMITED,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184615,PILOT FINANCE LIMITED,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3688,addition,Entity,JSC BALANCE INSURANCE,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184643,JSC BALANCE INSURANCE,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3689,addition,Entity,JSC ROSGOSSTRAKH,The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184644,JSC ROSGOSSTRAKH,exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3661,ship_addition,Ship,"IMO 9296377 (""MARJORIE"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184616,"IMO 9296377 (""MARJORIE"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3662,ship_addition,Ship,"IMO 9305556 (""MARVEN"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184617,"IMO 9305556 (""MARVEN"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3663,ship_addition,Ship,"IMO 9390587 (""ONEIROI"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184618,"IMO 9390587 (""ONEIROI"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3664,ship_addition,Ship,"IMO 9333785 (""SEADAR"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184619,"IMO 9333785 (""SEADAR"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3665,ship_addition,Ship,"IMO 9291262 (""SILVAR"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184620,"IMO 9291262 (""SILVAR"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3666,ship_addition,Ship,"IMO 9290397 (""STORMBRINGER"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184621,"IMO 9290397 (""STORMBRINGER"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3667,ship_addition,Ship,"IMO 9417464 (""TANI"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184622,"IMO 9417464 (""TANI"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3668,ship_addition,Ship,"IMO 9298492 (""TOA PAYOH"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184623,"IMO 9298492 (""TOA PAYOH"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3669,ship_addition,Ship,"IMO 9290385 (""ELBUS"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184624,"IMO 9290385 (""ELBUS"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3670,ship_addition,Ship,"IMO 9270555 (""INTEGRITY RACER"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184625,"IMO 9270555 (""INTEGRITY RACER"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3671,ship_addition,Ship,"IMO 9380570 (""KURDOS III"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184626,"IMO 9380570 (""KURDOS III"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3672,ship_addition,Ship,"IMO 9249128 (""SAKHALIN"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184627,"IMO 9249128 (""SAKHALIN"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3673,ship_addition,Ship,"IMO 9408542 (""LING HONG"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184628,"IMO 9408542 (""LING HONG"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3674,ship_addition,Ship,"IMO 9294264 (""ORION"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184629,"IMO 9294264 (""ORION"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3675,ship_addition,Ship,"IMO 9326689 (""MERKURIY"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184630,"IMO 9326689 (""MERKURIY"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
RUS3676,ship_addition,Ship,"IMO 9300817 (""KOSMOS"")",The Russia (Sanctions) (EU Exit) Regulations 2019,16/06/2026,STABLE_DEFINITE,5,0,0,0,0,5,yes,UK,1184631,"IMO 9300817 (""KOSMOS"")",exact,UK,2026-06-16,2099-12-31,yes,reg-uk-the-russia-sanctions-eu-exit-regulations-2019.json,2026-07-06
